_date_,agri,volpal,dubai,cpi,expt,gdp,gov,impt,ind,libor3,nfia,nonagri,ofwremit,pce,serv,tbill91,tbillall,unemp
1997-01-01,46814,2563757,19.30207634,81.533333333333328,102777,210954,17526,125787,73740,5.5723,9614,164140,493735.33333333328,156862,90400,10.533333333333334,11,7.7486416253248288
1997-04-01,44699,2282704,17.52103996,82.433333333333328,107938,218642,19002,137427,77621,5.8147,9109,173943,379756,169755,96322,10.466666666666666,11,10.402320836521296
1997-07-01,38769,1788141,17.67043304666667,83.633333333333344,121904,216653,18018,153281,82550,5.7317,10185,177884,498757.66666666672,169099,95334,13.9,14.466666666666666,8.6986801087749552
1997-10-01,54722,4634361,17.9132398,84.833333333333328,132703,246902,17157,151177,86778,5.8368,8599,192180,541696,188600,105402,16.7,17.833333333333336,7.853956715678176
1998-01-01,46004,2220968,12.455231666666668,87.566666666666656,98147,216215,16545,133099,75885,5.6579,11167,170211,837673.66666666656,163980,94326,17.833333333333336,19,8.4171186664902768
1998-04-01,38992,1338008,11.9291652,90.133333333333328,87009,215629,18901,120190,76651,5.6892,11071,176637,553382,176450,99986,14.533333333333334,15.733333333333334,13.321707719615108
1998-07-01,37680,1284443,12.416378019999998,91.966666666666656,95758,215234,17883,129283,79556,5.6220,12675,177554,460675.33333333328,173976,97998,14.200000000000002,15.6,8.9464910273592
1998-10-01,50525,3711405,11.564119656666668,93.466666666666656,86533,240922,16976,101663,81789,5.2746,11568,190397,604265.33333333336,193498,108608,13.466666666666666,14.266666666666666,9.6425602660016624
1999-01-01,47481,2996188,10.93489999,95.5,89885,217810,18687,110688,73166,5.0024,13119,170329,560943.66666666664,168030,97163,12.666666666666666,13,9.1709047109207712
1999-04-01,42746,2275865,15.19805,95.666666666666672,89864,223756,20082,120357,77086,5.0714,12234,181010,587925.33333333336,181018,103924,10.066666666666666,10.4,11.857682816355856
1999-07-01,39839,2248702,19.475533333333336,96.366666666666672,106810,223489.022,18740,131268,81506,5.4415,13207,183650.022,454577.66666666672,178325,102144.022,8.4666666666666672,8.8666666666666672,8.3845741494024544
1999-10-01,54398,4265870,22.699966666666664,97.366666666666672,94196,253105,17527,108360,84892,6.1367,12614,198707,403626.33333333328,199205,113815,8.8,10,9.365625
2000-01-01,47743,2856356,24.292591666666668,97.9,102746,229415,18741,117103,80410,6.1158,14537.382355277726,181672,534252,173407,101262,8.8666666666666672,9.7000000000000016,9.4639592582919824
2000-04-01,44564,2586140,24.952188553333332,98.766666666666672,105050,237420,21287,116223,83707,6.6372,15199,192856,499231.66666666672,186729,109149,8.8333333333333344,9.9333333333333312,13.866464051666824
2000-07-01,42896,2412610,27.599533816666668,100.46666666666666,124044,239521,20543,130809,89373,6.6991,14885,196625,501250.66666666672,184866,107252,8.9666666666666672,10.166666666666666,11.076748295884878
2000-10-01,57254,4534306,27.495972886666668,102.83333333333332,113833,266604,19078,126633,91551,6.6987,20275,209350,482082.33333333328,207064,117799,12.933333333333336,14.1,10.136534230619904
2001-01-01,49190,2813930,23.620363636666668,105.23333333333334,109780,232325,17961,122636,77366,5.3364,16356.896303037306,183135,451477.66666666672,179439,105769,10.833333333333334,11.8,11.355889407903042
2001-04-01,46336,2753901,25.085304926666664,106.03333333333332,102084,242057,20646,134319,82901,4.1698,20995,195721,512653.33333333328,192885,112820,9.4,10.4,13.268492906219328
2001-07-01,44260,2405187,23.902696969999996,107.56666666666666,118819,242983,19218,133548,86945,3.4636,18237,198723,511590,191769,111778,9.3,11.066666666666668,10.089968372892806
2001-10-01,59803,4981852,18.238670619999996,108.2,99656,272677,17588,117541,89259,2.1567,15652,212874,535055.66666666664,214918,123615,9.4,10.8,9.804861964569408
2002-01-01,52441.633662800472,3058094,20.019123603333332,108.9,103498.62709143552,242041.09772284156,16863,117409.28346799284,79039,1.9012,18336,189599.46406004108,554038.33333333336,185680,110560.46406004108,7.1666666666666672,7.5333333333333344,10.251374705420266
2002-04-01,46866.940344685328,2614275,24.272816573333332,109.53333333333334,109083.97091416162,253271.43907906576,20515,141467.44625740108,87871,1.9181,15424,206404.49873438044,625036.66666666664,200314,118533.49873438044,4.6333333333333336,4.9666666666666656,13.882232112290312
2002-07-01,44696.388517432568,2020796,25.575566536666668,110.53333333333334,128799.8916453122,250996.30902306724,18951,141348.92367416298,89307,1.8105,16759,206299.92050563468,584158.66666666664,199932,116992.9205056347,4.9666666666666656,5.3333333333333328,11.244766790494722
2002-10-01,63475.282289071216,5577488,25.068385096666672,110.9,106303.9258236915,287785.20023911248,16197,136309.3404260994,93291,1.5540,21082,224309.91795004124,532151.66666666664,224859,131018.91795004126,5.2666666666666664,6.1000000000000008,10.164810690423164
2003-01-01,54151.01550718812,3035561,28.562285713333336,112.16666666666668,108898.3041579801,253672.46428566144,17682,145875.8801115351,82515,1.3330,19168,199521.44877847332,596112.33333333336,195033,117006.4487784733,5.7,6.5,10.567729675158856
2003-04-01,47167.577381125312,2345717,24.3680873,113.4,111435.997883571,264188.73661982348,19760,152408.86176780426,91219,1.2347,22243,217021.1592386982,628977,211023,125802.1592386982,6.5,7.0666666666666664,12.175544968962032
2003-07-01,47176.76879081044,2434696,26.503033126666668,114.5,132396.41161828784,264671.29585067836,19906,146392.66947123624,93414,1.1286,22665,217494.52705986796,630413.33333333336,210321,124080.52705986794,5.2333333333333336,6.0666666666666664,12.622668579626974
2003-10-01,66777.387631926568,5683910,27.497641133333332,115.1,116806.67060662606,302539.28290029424,17071,149925.19437691906,96338,1.1667,22283,235761.89526836768,670650,237221,139423.89526836766,6.05,6.7,10.156605922551252
2004-01-01,58488.267961653608,3434383,29.18,116.76666666666666,123400.894615731,271816.54052286304,18668,151022.20218500916,87821.068489480656,1.1211,22827.949703543468,213328.27256120944,652614.33333333336,206766.25178894584,125507.2040717288,6.7,7.5666666666666672,11.007594364924762
2004-04-01,49429.20247363016,2604199,32.983333333333328,118.76666666666666,130984.3977615227,282938.5539970242,19921,162746.86492932178,96607.419079027728,1.3093,25579.551955068564,233509.35152339404,688292,224318.23225907656,136901.93244436634,7.3,7.9,13.665123668136624
2004-07-01,50491.387056774744,2871678,36.086666666666664,122.36666666666668,155608.17144619874,279580.50350438664,19520,156202.02537743604,94582.149771896864,1.7541,24852.809143045044,229089.11644761188,727411.66666666656,221873.40892380184,134506.96667571502,7.4666666666666656,8.2666666666666656,11.736145990289638
2004-10-01,68008.592485589528,5586524,35.573333333333332,124.46666666666666,129956.91652644778,319959.13310091548,17346,158939.46338496858,103408.37363357408,2.2961,24776.36319595722,251950.54061532592,781805.66666666656,250856.49270990836,148542.16698175186,7.8333333333333328,8.7000000000000016,10.909907633566356
2005-01-01,58256.021061074752,3381885,41.070084176666672,126.63333333333332,125943.16070342806,284063.47806467956,18799.20132870602,147706.80488688536,90581.232895885632,2.8397,25239.046502994,225807.4570036048,818304.33333333344,216695.2535934524,135226.22410771914,7.0333333333333344,7.9333333333333328,11.29991027366532
2005-04-01,50411.347201796208,2651140,47.692142856666664,128.46666666666666,134167.98789142978,297426.35141223732,22481.19989387036,166970.20887146402,100348.6677863689,3.2869,27428.523217836948,247015.00421044112,903272.66666666656,235172.95553728476,146666.33642407222,6.1666666666666672,7.1000000000000008,8.281614758298696
2005-07-01,51733.141068310888,2669137,55.34049062,131.0666666666667,167157.62930167994,292664.59202356056,18813.434990052984,167923.66577213862,97916.339755369728,3.7750,25680.07300253294,240931.45095524964,933330.33333333344,232159.3587618322,143015.1111998799,5.7,7.4666666666666656,7.705187876035872
2005-10-01,70553.861991666576,5900843,52.702380953333336,133.1,138473.17123312022,337297.657450096,17103.75601233287,161238.45377901682,108035.29291137424,4.3347,30199.428740401956,266743.79545842936,908094.33333333344,263478.3776904806,158708.50254705514,5.65,7.75,7.381113364886184
2006-01-01,60246.602822475128,3615607,57.845016906666672,135.9,142386.968243017,299918.24175009672,20591.157616212856,151835.18070341982,95676.870536499712,4.7654,26490,239671.6389276216,938132.33333333344,227928.29399273808,143994.76839112188,5.0333333333333344,6.3666666666666672,8.1
2006-04-01,53934.639443111104,2923824,64.68171416666668,137.33333333333334,167619.65938571192,313645.82209460416,24293.272950029988,174032.9611003224,105084.60512154272,5.2236,29825,259711.18265149304,1048156.6666666666,247501.7278817902,154626.5775299503,5.3333333333333328,6.0333333333333344,8.2
2006-07-01,53580.45775082932,3006200,65.867881296666664,139.0666666666667,184645.02020954184,307609.86091496912,21550.623410807416,169561.12018701364,102989.5931255228,5.4330,26008,254029.40316413984,1051090,244560.78335877428,151039.81003861702,5.6333333333333328,6.4666666666666656,8.1
2006-10-01,71737.041251458464,5781075,57.328635643333336,139.46666666666666,146918.09987257,355698.58512995096,18773.391581317084,160591.53487409808,112234.08767810576,5.3689,32809,283961.54387849248,1216390.3333333332,279736.99778186892,171727.45620038674,5.15,5.65,7.4
2007-01-01,62726,3676704,55.582136363333328,139.83333333333334,157359,320177,23704,149037,101166,5.3554,29496,257451,1163248.3333333332,241363.39891830176,156285,3.1333333333333332,3.6333333333333328,7.8
2007-04-01,56230,3051176,64.71299103,140.56666666666666,174676,339120,26466,156195,115231,5.3580,37367,282890,1181477.6666666668,261401.56476109068,167659,2.95,3.8,7.4
2007-07-01,56742,3146959,69.972914360000008,142.6,191193,328528,20992,161433,108486,5.4439,34311,271786,1147781.6666666668,258445.5828886798,163300,3.7,4.6000000000000008,7.8
2007-10-01,75797,6365355,83.208173843333328,144.0666666666667,153413,378800,20278,161998,118111,5.0335,32999,303004,1324135,296965.7607941188,184893,3.75,4.8,6.3
2008-01-01,64422,3748852,91.304747206666656,147.5666666666667,145212,332514,22551,141962,104013,3.2886,36490,268092,1316827,253744,164079,3.7,5.15,7.4
2008-04-01,59010,3371867,116.66829726666666,154.26666666666666,185374,351567,25725,153930,118638,2.7524,43991,292557,1430293.3333333332,272054,173919,NA,6.4666666666666656,8
2008-07-01,58040,3467460,128.86092753333332,159.96666666666666,196992,343585,22624,170961,117325,2.9081,42752,285544,1343910.3333333332,269923,168219,5.7,6.6333333333333328,7.4
2008-10-01,77938,6227369,42.973846153846152,158,135745,389421,20315,166917,124525,2.7710,50790,311483,1384587.3333333332,311848,186958,6.1000000000000008,6.5,6.8
